# Experimental Kangxi Radicals normalization
#
# Unicode extraction-artifact normalization table.
#
# Section 1 contains the complete 214-entry Kangxi radical mapping
# used mainly for zh-Hant text.
#
# Intended ONLY for repairing malformed PDF text extraction
# (notably PdfPig output that substitutes Kangxi Radical code points
# for ordinary CJK ideographs).
#
# Unicode block:
#   U+2F00–U+2FD5  Kangxi Radicals (214 entries)
#
# Format:
#   <source>\t<replacement>
#
⼀	一
⼁	丨
⼂	丶
⼃	丿
⼄	乙
⼅	亅
⼆	二
⼇	亠
⼈	人
⼉	儿
⼊	入
⼋	八
⼌	冂
⼍	冖
⼎	冫
⼏	几
⼐	凵
⼑	刀
⼒	力
⼓	勹
⼔	匕
⼕	匚
⼖	匸
⼗	十
⼘	卜
⼙	卩
⼚	厂
⼛	厶
⼜	又
⼝	口
⼞	囗
⼟	土
⼠	士
⼡	夂
⼢	夊
⼣	夕
⼤	大
⼥	女
⼦	子
⼧	宀
⼨	寸
⼩	小
⼪	尢
⼫	尸
⼬	屮
⼭	山
⼮	巛
⼯	工
⼰	己
⼱	巾
⼲	干
⼳	幺
⼴	广
⼵	廴
⼶	廾
⼷	弋
⼸	弓
⼹	彐
⼺	彡
⼻	彳
⼼	心
⼽	戈
⼾	戶
⼿	手
⽀	支
⽁	攴
⽂	文
⽃	斗
⽄	斤
⽅	方
⽆	无
⽇	日
⽈	曰
⽉	月
⽊	木
⽋	欠
⽌	止
⽍	歹
⽎	殳
⽏	毋
⽐	比
⽑	毛
⽒	氏
⽓	气
⽔	水
⽕	火
⽖	爪
⽗	父
⽘	爻
⽙	爿
⽚	片
⽛	牙
⽜	牛
⽝	犬
⽞	玄
⽟	玉
⽠	瓜
⽡	瓦
⽢	甘
⽣	生
⽤	用
⽥	田
⽦	疋
⽧	疒
⽨	癶
⽩	白
⽪	皮
⽫	皿
⽬	目
⽭	矛
⽮	矢
⽯	石
⽰	示
⽱	禸
⽲	禾
⽳	穴
⽴	立
⽵	竹
⽶	米
⽷	糸
⽸	缶
⽹	网
⽺	羊
⽻	羽
⽼	老
⽽	而
⽾	耒
⽿	耳
⾀	聿
⾁	肉
⾂	臣
⾃	自
⾄	至
⾅	臼
⾆	舌
⾇	舛
⾈	舟
⾉	艮
⾊	色
⾋	艸
⾌	虍
⾍	虫
⾎	血
⾏	行
⾐	衣
⾑	襾
⾒	見
⾓	角
⾔	言
⾕	谷
⾖	豆
⾗	豕
⾘	豸
⾙	貝
⾚	赤
⾛	走
⾜	足
⾝	身
⾞	車
⾟	辛
⾠	辰
⾡	辵
⾢	邑
⾣	酉
⾤	釆
⾥	里
⾦	金
⾧	長
⾨	門
⾩	阜
⾪	隶
⾫	隹
⾬	雨
⾭	靑
⾮	非
⾯	面
⾰	革
⾱	韋
⾲	韭
⾳	音
⾴	頁
⾵	風
⾶	飛
⾷	食
⾸	首
⾹	香
⾺	馬
⾻	骨
⾼	高
⾽	髟
⾾	鬥
⾿	鬯
⿀	鬲
⿁	鬼
⿂	魚
⿃	鳥
⿄	鹵
⿅	鹿
⿆	麥
⿇	麻
⿈	黃
⿉	黍
⿊	黑
⿋	黹
⿌	黽
⿍	鼎
⿎	鼓
⿏	鼠
⿐	鼻
⿑	齊
⿒	齒
⿓	龍
⿔	龜
⿕	龠

# ----------------------------------------------------------------------
# zh-Hans / CJK Radicals Supplement
#
# Simplified radical forms that PdfPig may emit instead of ordinary
# Simplified Chinese ideographs. The neutral forms at the end were also
# observed in PdfPig-extracted zh-Hans text.
#
# CJK Radicals Supplement: U+2E80–U+2EFF
#
⺦	丬
⺰	纟
⻅	见
⻆	角
⻈	讠
⻉	贝
⻋	车
⻌	辶
⻐	钅
⻓	长
⻔	门
⻙	韦
⻚	页
⻛	风
⻜	飞
⻠	饣
⻢	马
⻥	鱼
⻦	鸟
⻧	卤
⻨	麦
⻩	黄
⻪	黾
⻬	齐
⻮	齿
⻰	龙
⻳	龟

# Additional CJK Radicals Supplement forms mined from ctext normalization data
⺋	㔾
⺖	忄
⺘	扌
⺞	歺
⺡	氵
⺣	灬
⺤	爫
⺨	犭
⺩	𤣩
⺫	罒
⺭	礻
⺮	𥫗
⺯	糹
⺲	罒
⺴	⺳
⺷	𦍌
⺼	月
⺾	艹
⻂	衤
⻃	覀
⻊	𧾷
⻏	阝
⻑	長
⻒	镸
⻖	阝
⻗	雨

# Neutral radical forms observed in zh-Hans PdfPig output
⺟	母
⻘	青
⻤	鬼

# ----------------------------------------------------------------------
# Other Chinese / legacy glyph normalization candidates
#
# Mined from the Chinese Text Project normalization table after excluding
# mappings already covered by CJK_Compatibility_Ideographs.txt.
#
〸	十
ム	厶
㦳	㘽
䎛	㖈
呑	吞
尙	尚
岀	出
敻	夐
耈	耇
飮	飲
龺	𠦝

# ----------------------------------------------------------------------
# CJK Extension glyph normalization candidates
#
# Supplementary-plane CJK source forms from the same normalization table.
#
𠑗	㒨
𣔕	𠓲
𤈎	㶷
𤑕	爋
𤧩	𤦼
𧅄	虁
𧥙	𣁀

# ----------------------------------------------------------------------
# Punctuation / symbol extraction artifacts
#
# Compatibility-like glyph substitutions observed by comparing PdfPig
# extraction with Pdfium extraction from the same PDF.
#
〈	〈
〉	〉
⸺	——

# Additional punctuation forms mined from ctext normalization data
‧	·
︰	：
﹐	，
﹑	、
﹔	；
﹕	：
﹖	？
﹗	！
